Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
BARWINSKA Agata ,7,Ilca 6,8.0,MR,1,,105,86,Semaine Olympique Francaise De Voile 2022
BARRUE Marie ,7,Ilca 6,16.0,MR,2,,139,111,Semaine Olympique Francaise De Voile 2022
CERVERA Louise ,7,Ilca 6,5.0,MR,3,,138,113,Semaine Olympique Francaise De Voile 2022
PLASSCHAERT Emma ,7,Ilca 6,6.0,MR,4,,181,115,Semaine Olympique Francaise De Voile 2022
DOUGLAS Sarah ,7,Ilca 6,12.0,MR,5,,166,119,Semaine Olympique Francaise De Voile 2022
SNELLGROVE Hannah ,7,Ilca 6,1.0,MR,6,,161,128,Semaine Olympique Francaise De Voile 2022
BENINI FLORIANI Chiara ,7,Ilca 6,15.0,MR,7,,188,145,Semaine Olympique Francaise De Voile 2022
AKKERMAN Mirthe ,7,Ilca 6,17.0,MR,8,,180,149,Semaine Olympique Francaise De Voile 2022
STRANSKY Mara ,7,Ilca 6,20.0,MR,9,,203,159,Semaine Olympique Francaise De Voile 2022
JONKER Maxime ,7,Ilca 6,3.0,MR,10,,235,169,Semaine Olympique Francaise De Voile 2022
MICHON Pernelle ,7,Ilca 6,19.0,G,11,,208,164,Semaine Olympique Francaise De Voile 2022
COLLINGRIDGE Daisy ,7,Ilca 6,18.0,G,12,,217,166,Semaine Olympique Francaise De Voile 2022
KARACHALIOU Vasileia ,7,Ilca 6,2.0,G,13,,207,171,Semaine Olympique Francaise De Voile 2022
VOROBEVA Elena ,7,Ilca 6,7.0,G,14,,215,172,Semaine Olympique Francaise De Voile 2022
JAYET MAUD ,7,Ilca 6,22.0,G,15,,244,178,Semaine Olympique Francaise De Voile 2022
ANDRULYTE Viktorija ,7,Ilca 6,38.0,G,16,,230,185,Semaine Olympique Francaise De Voile 2022
THOMSON Zoe ,7,Ilca 6,13.0,G,17,,251,185,Semaine Olympique Francaise De Voile 2022
CARDOZO Luciana ,7,Ilca 6,35.0,G,18,,240,185,Semaine Olympique Francaise De Voile 2022
BUESSELBERG Julia ,7,Ilca 6,   (66.0),G,19,,256,190,Semaine Olympique Francaise De Voile 2022
MAKRI Marilena ,7,Ilca 6,   (49.0),G,20,,241,192,Semaine Olympique Francaise De Voile 2022
IMENEO Casey ,7,Ilca 6,   (39.0),G,21,,235,196,Semaine Olympique Francaise De Voile 2022
BOLOU Marie ,7,Ilca 6,11.0,G,22,,249,197,Semaine Olympique Francaise De Voile 2022
FALASCA Lucia ,7,Ilca 6,10.0,G,23,,247,199,Semaine Olympique Francaise De Voile 2022
NICHOLLS Matilda ,7,Ilca 6,   (40.0),G,24,,244,204,Semaine Olympique Francaise De Voile 2022
ERDI Maria ,7,Ilca 6,9.0,G,25,,281,215,Semaine Olympique Francaise De Voile 2022
PUJOL BAJO Cristina ,7,Ilca 6,26.0,G,26,,265,215,Semaine Olympique Francaise De Voile 2022
MUNCH Anna ,7,Ilca 6,   (66.0),G,27,,282,216,Semaine Olympique Francaise De Voile 2022
AINSWORTH Elyse ,7,Ilca 6,31.0,G,28,,271,220,Semaine Olympique Francaise De Voile 2022
ANDERSSOHN Hannah Cris ,7,Ilca 6,4.0,G,29,,277,228,Semaine Olympique Francaise De Voile 2022
ALBANO Carolina ,7,Ilca 6,27.0,G,30,,296,230,Semaine Olympique Francaise De Voile 2022
LULIC Sandra ,7,Ilca 6,29.0,G,31,,293,240,Semaine Olympique Francaise De Voile 2022
DONERTAS Nazli Cagla ,7,Ilca 6,24.0,G,32,,306,240,Semaine Olympique Francaise De Voile 2022
CATTAROZZI FEDERICA ,7,Ilca 6,36.0,G,33,,305,254,Semaine Olympique Francaise De Voile 2022
HOPKINS Aoife ,7,Ilca 6,28.0,G,34,,327,261,Semaine Olympique Francaise De Voile 2022
GOLEBIOWSKA Wiktoria ,7,Ilca 6,43.0,G,35,,330,264,Semaine Olympique Francaise De Voile 2022
KUMANAN Nethra ,7,Ilca 6,   (51.0),G,36,,320,269,Semaine Olympique Francaise De Voile 2022
GUZEL Ecem ,7,Ilca 6,21.0,G,37,,340,274,Semaine Olympique Francaise De Voile 2022
SAKELLARIS Christina ,7,Ilca 6,23.0,G,38,,345,283,Semaine Olympique Francaise De Voile 2022
GRAVELY Clara ,7,Ilca 6,14.0,G,39,,351,293,Semaine Olympique Francaise De Voile 2022
PLETIKOS Lin ,7,Ilca 6,42.0,G,40,,370,310,Semaine Olympique Francaise De Voile 2022
BAUDET Rosine ,7,Ilca 6,   (66.0),G,41,,379,313,Semaine Olympique Francaise De Voile 2022
VON ALLMEN Anja ,7,Ilca 6,25.0,G,42,,377,321,Semaine Olympique Francaise De Voile 2022
REINO CAHO Martina ,7,Ilca 6,46.0,G,43,,393,327,Semaine Olympique Francaise De Voile 2022
SACKER Molly ,7,Ilca 6,44.0,G,44,,379,328,Semaine Olympique Francaise De Voile 2022
CHRISTIE Olivia ,7,Ilca 6,32.0,G,45,,397,331,Semaine Olympique Francaise De Voile 2022
DEWEY Maura ,7,Ilca 6,33.0,G,46,,404,338,Semaine Olympique Francaise De Voile 2022
TOMBE Yumiko ,7,Ilca 6,41.0,G,47,,419,353,Semaine Olympique Francaise De Voile 2022
HAJI-MICHAEL Anya ,7,Ilca 6,47.0,G,48,,423,364,Semaine Olympique Francaise De Voile 2022
MONCADA SANCHEZ Ana ,7,Ilca 6,34.0,G,49,,440,374,Semaine Olympique Francaise De Voile 2022
VITTECOQ Coralie ,7,Ilca 6,37.0,G,50,,435,379,Semaine Olympique Francaise De Voile 2022
CALDECOAT Paige ,7,Ilca 6,53.0,G,51,,448,382,Semaine Olympique Francaise De Voile 2022
PENRUDDOCKE Adriana ,7,Ilca 6,50.0,G,52,,443,386,Semaine Olympique Francaise De Voile 2022
RADULIC Mailys ,7,Ilca 6,   (58.0),G,53,,446,388,Semaine Olympique Francaise De Voile 2022
STANNAGE Sylvie ,7,Ilca 6,45.0,G,54,,452,395,Semaine Olympique Francaise De Voile 2022
JUNG Hyewon ,7,Ilca 6,55.0,G,55,,454,396,Semaine Olympique Francaise De Voile 2022
LUBAC Thea ,7,Ilca 6,52.0,G,56,,472,414,Semaine Olympique Francaise De Voile 2022
JORDAN Agustina ,7,Ilca 6,54.0,G,57,,479,422,Semaine Olympique Francaise De Voile 2022
PARK Jeongbin ,7,Ilca 6,59.0,G,58,,497,437,Semaine Olympique Francaise De Voile 2022
MANSY Khouloud ,7,Ilca 6,56.0,G,59,,512,451,Semaine Olympique Francaise De Voile 2022
ROIHU Katariina ,7,Ilca 6,57.0,G,60,,531,469,Semaine Olympique Francaise De Voile 2022
NAUMENKO Sofiia ,7,Ilca 6,48.0,G,61,,558,496,Semaine Olympique Francaise De Voile 2022
RAAMAT Eliise ,7,Ilca 6,60.0,G,62,,565,504,Semaine Olympique Francaise De Voile 2022
NORSELL Michala ,7,Ilca 6,30.0,G,63,,600,534,Semaine Olympique Francaise De Voile 2022
VEERAVAMSHAM Vaishnavi ,7,Ilca 6,   (66.0),G,64,,616,550,Semaine Olympique Francaise De Voile 2022
VLACHOU MARIA ,7,Ilca 6,   (66.0),G,65,,660,594,Semaine Olympique Francaise De Voile 2022
BARWINSKA Agata ,7,Ilca 6,2.0,MR,1,,105,86,Semaine Olympique Francaise De Voile 2022
BARRUE Marie ,7,Ilca 6,12.0,MR,2,,139,111,Semaine Olympique Francaise De Voile 2022
CERVERA Louise ,7,Ilca 6,9.0,MR,3,,138,113,Semaine Olympique Francaise De Voile 2022
PLASSCHAERT Emma ,7,Ilca 6,7.0,MR,4,,181,115,Semaine Olympique Francaise De Voile 2022
DOUGLAS Sarah ,7,Ilca 6,1.0,MR,5,,166,119,Semaine Olympique Francaise De Voile 2022
SNELLGROVE Hannah ,7,Ilca 6,23.0,MR,6,,161,128,Semaine Olympique Francaise De Voile 2022
BENINI FLORIANI Chiara ,7,Ilca 6,30.0,MR,7,,188,145,Semaine Olympique Francaise De Voile 2022
AKKERMAN Mirthe ,7,Ilca 6,25.0,MR,8,,180,149,Semaine Olympique Francaise De Voile 2022
STRANSKY Mara ,7,Ilca 6,28.0,MR,9,,203,159,Semaine Olympique Francaise De Voile 2022
JONKER Maxime ,7,Ilca 6,8.0,MR,10,,235,169,Semaine Olympique Francaise De Voile 2022
MICHON Pernelle ,7,Ilca 6,5.0,G,11,,208,164,Semaine Olympique Francaise De Voile 2022
COLLINGRIDGE Daisy ,7,Ilca 6,3.0,G,12,,217,166,Semaine Olympique Francaise De Voile 2022
KARACHALIOU Vasileia ,7,Ilca 6,20.0,G,13,,207,171,Semaine Olympique Francaise De Voile 2022
VOROBEVA Elena ,7,Ilca 6,36.0,G,14,,215,172,Semaine Olympique Francaise De Voile 2022
JAYET MAUD ,7,Ilca 6,29.0,G,15,,244,178,Semaine Olympique Francaise De Voile 2022
ANDRULYTE Viktorija ,7,Ilca 6,15.0,G,16,,230,185,Semaine Olympique Francaise De Voile 2022
THOMSON Zoe ,7,Ilca 6,16.0,G,17,,251,185,Semaine Olympique Francaise De Voile 2022
CARDOZO Luciana ,7,Ilca 6,18.0,G,18,,240,185,Semaine Olympique Francaise De Voile 2022
BUESSELBERG Julia ,7,Ilca 6,40.0,G,19,,256,190,Semaine Olympique Francaise De Voile 2022
MAKRI Marilena ,7,Ilca 6,27.0,G,20,,241,192,Semaine Olympique Francaise De Voile 2022
IMENEO Casey ,7,Ilca 6,26.0,G,21,,235,196,Semaine Olympique Francaise De Voile 2022
BOLOU Marie ,7,Ilca 6,6.0,G,22,,249,197,Semaine Olympique Francaise De Voile 2022
FALASCA Lucia ,7,Ilca 6,19.0,G,23,,247,199,Semaine Olympique Francaise De Voile 2022
NICHOLLS Matilda ,7,Ilca 6,31.0,G,24,,244,204,Semaine Olympique Francaise De Voile 2022
ERDI Maria ,7,Ilca 6,   (66.0),G,25,,281,215,Semaine Olympique Francaise De Voile 2022
PUJOL BAJO Cristina ,7,Ilca 6,37.0,G,26,,265,215,Semaine Olympique Francaise De Voile 2022
MUNCH Anna ,7,Ilca 6,13.0,G,27,,282,216,Semaine Olympique Francaise De Voile 2022
AINSWORTH Elyse ,7,Ilca 6,39.0,G,28,,271,220,Semaine Olympique Francaise De Voile 2022
ANDERSSOHN Hannah Cris ,7,Ilca 6,17.0,G,29,,277,228,Semaine Olympique Francaise De Voile 2022
ALBANO Carolina ,7,Ilca 6,46.0,G,30,,296,230,Semaine Olympique Francaise De Voile 2022
LULIC Sandra ,7,Ilca 6,11.0,G,31,,293,240,Semaine Olympique Francaise De Voile 2022
DONERTAS Nazli Cagla ,7,Ilca 6,22.0,G,32,,306,240,Semaine Olympique Francaise De Voile 2022
CATTAROZZI FEDERICA ,7,Ilca 6,45.0,G,33,,305,254,Semaine Olympique Francaise De Voile 2022
HOPKINS Aoife ,7,Ilca 6,4.0,G,34,,327,261,Semaine Olympique Francaise De Voile 2022
GOLEBIOWSKA Wiktoria ,7,Ilca 6,14.0,G,35,,330,264,Semaine Olympique Francaise De Voile 2022
KUMANAN Nethra ,7,Ilca 6,42.0,G,36,,320,269,Semaine Olympique Francaise De Voile 2022
GUZEL Ecem ,7,Ilca 6,41.0,G,37,,340,274,Semaine Olympique Francaise De Voile 2022
SAKELLARIS Christina ,7,Ilca 6,24.0,G,38,,345,283,Semaine Olympique Francaise De Voile 2022
GRAVELY Clara ,7,Ilca 6,10.0,G,39,,351,293,Semaine Olympique Francaise De Voile 2022
PLETIKOS Lin ,7,Ilca 6,34.0,G,40,,370,310,Semaine Olympique Francaise De Voile 2022
BAUDET Rosine ,7,Ilca 6,44.0,G,41,,379,313,Semaine Olympique Francaise De Voile 2022
VON ALLMEN Anja ,7,Ilca 6,32.0,G,42,,377,321,Semaine Olympique Francaise De Voile 2022
REINO CAHO Martina ,7,Ilca 6,43.0,G,43,,393,327,Semaine Olympique Francaise De Voile 2022
SACKER Molly ,7,Ilca 6,48.0,G,44,,379,328,Semaine Olympique Francaise De Voile 2022
CHRISTIE Olivia ,7,Ilca 6,33.0,G,45,,397,331,Semaine Olympique Francaise De Voile 2022
DEWEY Maura ,7,Ilca 6,47.0,G,46,,404,338,Semaine Olympique Francaise De Voile 2022
TOMBE Yumiko ,7,Ilca 6,38.0,G,47,,419,353,Semaine Olympique Francaise De Voile 2022
HAJI-MICHAEL Anya ,7,Ilca 6,52.0,G,48,,423,364,Semaine Olympique Francaise De Voile 2022
MONCADA SANCHEZ Ana ,7,Ilca 6,21.0,G,49,,440,374,Semaine Olympique Francaise De Voile 2022
VITTECOQ Coralie ,7,Ilca 6,50.0,G,50,,435,379,Semaine Olympique Francaise De Voile 2022
CALDECOAT Paige ,7,Ilca 6,54.0,G,51,,448,382,Semaine Olympique Francaise De Voile 2022
PENRUDDOCKE Adriana ,7,Ilca 6,35.0,G,52,,443,386,Semaine Olympique Francaise De Voile 2022
RADULIC Mailys ,7,Ilca 6,55.0,G,53,,446,388,Semaine Olympique Francaise De Voile 2022
STANNAGE Sylvie ,7,Ilca 6,51.0,G,54,,452,395,Semaine Olympique Francaise De Voile 2022
JUNG Hyewon ,7,Ilca 6,   (58.0),G,55,,454,396,Semaine Olympique Francaise De Voile 2022
LUBAC Thea ,7,Ilca 6,53.0,G,56,,472,414,Semaine Olympique Francaise De Voile 2022
JORDAN Agustina ,7,Ilca 6,56.0,G,57,,479,422,Semaine Olympique Francaise De Voile 2022
PARK Jeongbin ,7,Ilca 6,   (60.0),G,58,,497,437,Semaine Olympique Francaise De Voile 2022
MANSY Khouloud ,7,Ilca 6,57.0,G,59,,512,451,Semaine Olympique Francaise De Voile 2022
ROIHU Katariina ,7,Ilca 6,59.0,G,60,,531,469,Semaine Olympique Francaise De Voile 2022
NAUMENKO Sofiia ,7,Ilca 6,49.0,G,61,,558,496,Semaine Olympique Francaise De Voile 2022
RAAMAT Eliise ,7,Ilca 6,   (61.0),G,62,,565,504,Semaine Olympique Francaise De Voile 2022
NORSELL Michala ,7,Ilca 6,   (66.0),G,63,,600,534,Semaine Olympique Francaise De Voile 2022
VEERAVAMSHAM Vaishnavi ,7,Ilca 6,66.0,G,64,,616,550,Semaine Olympique Francaise De Voile 2022
VLACHOU MARIA ,7,Ilca 6,66.0,G,65,,660,594,Semaine Olympique Francaise De Voile 2022
BARWINSKA Agata ,7,Ilca 6,1.0,MR,1,,105,86,Semaine Olympique Francaise De Voile 2022
BARRUE Marie ,7,Ilca 6,6.0,MR,2,,139,111,Semaine Olympique Francaise De Voile 2022
CERVERA Louise ,7,Ilca 6,22.0,MR,3,,138,113,Semaine Olympique Francaise De Voile 2022
PLASSCHAERT Emma ,7,Ilca 6,10.0,MR,4,,181,115,Semaine Olympique Francaise De Voile 2022
DOUGLAS Sarah ,7,Ilca 6,16.0,MR,5,,166,119,Semaine Olympique Francaise De Voile 2022
SNELLGROVE Hannah ,7,Ilca 6,27.0,MR,6,,161,128,Semaine Olympique Francaise De Voile 2022
BENINI FLORIANI Chiara ,7,Ilca 6,7.0,MR,7,,188,145,Semaine Olympique Francaise De Voile 2022
AKKERMAN Mirthe ,7,Ilca 6,   (31.0),MR,8,,180,149,Semaine Olympique Francaise De Voile 2022
STRANSKY Mara ,7,Ilca 6,12.0,MR,9,,203,159,Semaine Olympique Francaise De Voile 2022
JONKER Maxime ,7,Ilca 6,34.0,MR,10,,235,169,Semaine Olympique Francaise De Voile 2022
MICHON Pernelle ,7,Ilca 6,20.0,G,11,,208,164,Semaine Olympique Francaise De Voile 2022
COLLINGRIDGE Daisy ,7,Ilca 6,9.0,G,12,,217,166,Semaine Olympique Francaise De Voile 2022
KARACHALIOU Vasileia ,7,Ilca 6,   (36.0),G,13,,207,171,Semaine Olympique Francaise De Voile 2022
VOROBEVA Elena ,7,Ilca 6,   (43.0),G,14,,215,172,Semaine Olympique Francaise De Voile 2022
JAYET MAUD ,7,Ilca 6,4.0,G,15,,244,178,Semaine Olympique Francaise De Voile 2022
ANDRULYTE Viktorija ,7,Ilca 6,8.0,G,16,,230,185,Semaine Olympique Francaise De Voile 2022
THOMSON Zoe ,7,Ilca 6,   (66.0),G,17,,251,185,Semaine Olympique Francaise De Voile 2022
CARDOZO Luciana ,7,Ilca 6,13.0,G,18,,240,185,Semaine Olympique Francaise De Voile 2022
BUESSELBERG Julia ,7,Ilca 6,11.0,G,19,,256,190,Semaine Olympique Francaise De Voile 2022
MAKRI Marilena ,7,Ilca 6,28.0,G,20,,241,192,Semaine Olympique Francaise De Voile 2022
IMENEO Casey ,7,Ilca 6,35.0,G,21,,235,196,Semaine Olympique Francaise De Voile 2022
BOLOU Marie ,7,Ilca 6,26.0,G,22,,249,197,Semaine Olympique Francaise De Voile 2022
FALASCA Lucia ,7,Ilca 6,29.0,G,23,,247,199,Semaine Olympique Francaise De Voile 2022
NICHOLLS Matilda ,7,Ilca 6,17.0,G,24,,244,204,Semaine Olympique Francaise De Voile 2022
ERDI Maria ,7,Ilca 6,25.0,G,25,,281,215,Semaine Olympique Francaise De Voile 2022
PUJOL BAJO Cristina ,7,Ilca 6,37.0,G,26,,265,215,Semaine Olympique Francaise De Voile 2022
MUNCH Anna ,7,Ilca 6,39.0,G,27,,282,216,Semaine Olympique Francaise De Voile 2022
AINSWORTH Elyse ,7,Ilca 6,21.0,G,28,,271,220,Semaine Olympique Francaise De Voile 2022
ANDERSSOHN Hannah Cris ,7,Ilca 6,15.0,G,29,,277,228,Semaine Olympique Francaise De Voile 2022
ALBANO Carolina ,7,Ilca 6,24.0,G,30,,296,230,Semaine Olympique Francaise De Voile 2022
LULIC Sandra ,7,Ilca 6,14.0,G,31,,293,240,Semaine Olympique Francaise De Voile 2022
DONERTAS Nazli Cagla ,7,Ilca 6,30.0,G,32,,306,240,Semaine Olympique Francaise De Voile 2022
CATTAROZZI FEDERICA ,7,Ilca 6,18.0,G,33,,305,254,Semaine Olympique Francaise De Voile 2022
HOPKINS Aoife ,7,Ilca 6,   (66.0),G,34,,327,261,Semaine Olympique Francaise De Voile 2022
GOLEBIOWSKA Wiktoria ,7,Ilca 6,   (66.0),G,35,,330,264,Semaine Olympique Francaise De Voile 2022
KUMANAN Nethra ,7,Ilca 6,5.0,G,36,,320,269,Semaine Olympique Francaise De Voile 2022
GUZEL Ecem ,7,Ilca 6,44.0,G,37,,340,274,Semaine Olympique Francaise De Voile 2022
SAKELLARIS Christina ,7,Ilca 6,49.0,G,38,,345,283,Semaine Olympique Francaise De Voile 2022
GRAVELY Clara ,7,Ilca 6,48.0,G,39,,351,293,Semaine Olympique Francaise De Voile 2022
PLETIKOS Lin ,7,Ilca 6,19.0,G,40,,370,310,Semaine Olympique Francaise De Voile 2022
BAUDET Rosine ,7,Ilca 6,66.0,G,41,,379,313,Semaine Olympique Francaise De Voile 2022
VON ALLMEN Anja ,7,Ilca 6,23.0,G,42,,377,321,Semaine Olympique Francaise De Voile 2022
REINO CAHO Martina ,7,Ilca 6,   (66.0),G,43,,393,327,Semaine Olympique Francaise De Voile 2022
SACKER Molly ,7,Ilca 6,42.0,G,44,,379,328,Semaine Olympique Francaise De Voile 2022
CHRISTIE Olivia ,7,Ilca 6,40.0,G,45,,397,331,Semaine Olympique Francaise De Voile 2022
DEWEY Maura ,7,Ilca 6,   (66.0),G,46,,404,338,Semaine Olympique Francaise De Voile 2022
TOMBE Yumiko ,7,Ilca 6,3.0,G,47,,419,353,Semaine Olympique Francaise De Voile 2022
HAJI-MICHAEL Anya ,7,Ilca 6,33.0,G,48,,423,364,Semaine Olympique Francaise De Voile 2022
MONCADA SANCHEZ Ana ,7,Ilca 6,   (66.0),G,49,,440,374,Semaine Olympique Francaise De Voile 2022
VITTECOQ Coralie ,7,Ilca 6,41.0,G,50,,435,379,Semaine Olympique Francaise De Voile 2022
CALDECOAT Paige ,7,Ilca 6,38.0,G,51,,448,382,Semaine Olympique Francaise De Voile 2022
PENRUDDOCKE Adriana ,7,Ilca 6,46.0,G,52,,443,386,Semaine Olympique Francaise De Voile 2022
RADULIC Mailys ,7,Ilca 6,2.0,G,53,,446,388,Semaine Olympique Francaise De Voile 2022
STANNAGE Sylvie ,7,Ilca 6,54.0,G,54,,452,395,Semaine Olympique Francaise De Voile 2022
JUNG Hyewon ,7,Ilca 6,45.0,G,55,,454,396,Semaine Olympique Francaise De Voile 2022
LUBAC Thea ,7,Ilca 6,51.0,G,56,,472,414,Semaine Olympique Francaise De Voile 2022
JORDAN Agustina ,7,Ilca 6,32.0,G,57,,479,422,Semaine Olympique Francaise De Voile 2022
PARK Jeongbin ,7,Ilca 6,50.0,G,58,,497,437,Semaine Olympique Francaise De Voile 2022
MANSY Khouloud ,7,Ilca 6,47.0,G,59,,512,451,Semaine Olympique Francaise De Voile 2022
ROIHU Katariina ,7,Ilca 6,55.0,G,60,,531,469,Semaine Olympique Francaise De Voile 2022
NAUMENKO Sofiia ,7,Ilca 6,52.0,G,61,,558,496,Semaine Olympique Francaise De Voile 2022
RAAMAT Eliise ,7,Ilca 6,53.0,G,62,,565,504,Semaine Olympique Francaise De Voile 2022
NORSELL Michala ,7,Ilca 6,66.0,G,63,,600,534,Semaine Olympique Francaise De Voile 2022
VEERAVAMSHAM Vaishnavi ,7,Ilca 6,56.0,G,64,,616,550,Semaine Olympique Francaise De Voile 2022
VLACHOU MARIA ,7,Ilca 6,66.0,G,65,,660,594,Semaine Olympique Francaise De Voile 2022
BARWINSKA Agata ,7,Ilca 6,17.0,MR,1,,105,86,Semaine Olympique Francaise De Voile 2022
BARRUE Marie ,7,Ilca 6,16.0,MR,2,,139,111,Semaine Olympique Francaise De Voile 2022
CERVERA Louise ,7,Ilca 6,7.0,MR,3,,138,113,Semaine Olympique Francaise De Voile 2022
PLASSCHAERT Emma ,7,Ilca 6,8.0,MR,4,,181,115,Semaine Olympique Francaise De Voile 2022
DOUGLAS Sarah ,7,Ilca 6,40.0,MR,5,,166,119,Semaine Olympique Francaise De Voile 2022
SNELLGROVE Hannah ,7,Ilca 6,19.0,MR,6,,161,128,Semaine Olympique Francaise De Voile 2022
BENINI FLORIANI Chiara ,7,Ilca 6,   (43.0),MR,7,,188,145,Semaine Olympique Francaise De Voile 2022
AKKERMAN Mirthe ,7,Ilca 6,6.0,MR,8,,180,149,Semaine Olympique Francaise De Voile 2022
STRANSKY Mara ,7,Ilca 6,13.0,MR,9,,203,159,Semaine Olympique Francaise De Voile 2022
JONKER Maxime ,7,Ilca 6,28.0,MR,10,,235,169,Semaine Olympique Francaise De Voile 2022
MICHON Pernelle ,7,Ilca 6,29.0,G,11,,208,164,Semaine Olympique Francaise De Voile 2022
COLLINGRIDGE Daisy ,7,Ilca 6,22.0,G,12,,217,166,Semaine Olympique Francaise De Voile 2022
KARACHALIOU Vasileia ,7,Ilca 6,24.0,G,13,,207,171,Semaine Olympique Francaise De Voile 2022
VOROBEVA Elena ,7,Ilca 6,1.0,G,14,,215,172,Semaine Olympique Francaise De Voile 2022
JAYET MAUD ,7,Ilca 6,2.0,G,15,,244,178,Semaine Olympique Francaise De Voile 2022
ANDRULYTE Viktorija ,7,Ilca 6,37.0,G,16,,230,185,Semaine Olympique Francaise De Voile 2022
THOMSON Zoe ,7,Ilca 6,9.0,G,17,,251,185,Semaine Olympique Francaise De Voile 2022
CARDOZO Luciana ,7,Ilca 6,31.0,G,18,,240,185,Semaine Olympique Francaise De Voile 2022
BUESSELBERG Julia ,7,Ilca 6,27.0,G,19,,256,190,Semaine Olympique Francaise De Voile 2022
MAKRI Marilena ,7,Ilca 6,5.0,G,20,,241,192,Semaine Olympique Francaise De Voile 2022
IMENEO Casey ,7,Ilca 6,3.0,G,21,,235,196,Semaine Olympique Francaise De Voile 2022
BOLOU Marie ,7,Ilca 6,25.0,G,22,,249,197,Semaine Olympique Francaise De Voile 2022
FALASCA Lucia ,7,Ilca 6,47.0,G,23,,247,199,Semaine Olympique Francaise De Voile 2022
NICHOLLS Matilda ,7,Ilca 6,36.0,G,24,,244,204,Semaine Olympique Francaise De Voile 2022
ERDI Maria ,7,Ilca 6,4.0,G,25,,281,215,Semaine Olympique Francaise De Voile 2022
PUJOL BAJO Cristina ,7,Ilca 6,   (50.0),G,26,,265,215,Semaine Olympique Francaise De Voile 2022
MUNCH Anna ,7,Ilca 6,10.0,G,27,,282,216,Semaine Olympique Francaise De Voile 2022
AINSWORTH Elyse ,7,Ilca 6,20.0,G,28,,271,220,Semaine Olympique Francaise De Voile 2022
ANDERSSOHN Hannah Cris ,7,Ilca 6,41.0,G,29,,277,228,Semaine Olympique Francaise De Voile 2022
ALBANO Carolina ,7,Ilca 6,33.0,G,30,,296,230,Semaine Olympique Francaise De Voile 2022
LULIC Sandra ,7,Ilca 6,14.0,G,31,,293,240,Semaine Olympique Francaise De Voile 2022
DONERTAS Nazli Cagla ,7,Ilca 6,30.0,G,32,,306,240,Semaine Olympique Francaise De Voile 2022
CATTAROZZI FEDERICA ,7,Ilca 6,45.0,G,33,,305,254,Semaine Olympique Francaise De Voile 2022
HOPKINS Aoife ,7,Ilca 6,44.0,G,34,,327,261,Semaine Olympique Francaise De Voile 2022
GOLEBIOWSKA Wiktoria ,7,Ilca 6,46.0,G,35,,330,264,Semaine Olympique Francaise De Voile 2022
KUMANAN Nethra ,7,Ilca 6,11.0,G,36,,320,269,Semaine Olympique Francaise De Voile 2022
GUZEL Ecem ,7,Ilca 6,21.0,G,37,,340,274,Semaine Olympique Francaise De Voile 2022
SAKELLARIS Christina ,7,Ilca 6,32.0,G,38,,345,283,Semaine Olympique Francaise De Voile 2022
GRAVELY Clara ,7,Ilca 6,23.0,G,39,,351,293,Semaine Olympique Francaise De Voile 2022
PLETIKOS Lin ,7,Ilca 6,   (60.0),G,40,,370,310,Semaine Olympique Francaise De Voile 2022
BAUDET Rosine ,7,Ilca 6,42.0,G,41,,379,313,Semaine Olympique Francaise De Voile 2022
VON ALLMEN Anja ,7,Ilca 6,   (56.0),G,42,,377,321,Semaine Olympique Francaise De Voile 2022
REINO CAHO Martina ,7,Ilca 6,18.0,G,43,,393,327,Semaine Olympique Francaise De Voile 2022
SACKER Molly ,7,Ilca 6,   (51.0),G,44,,379,328,Semaine Olympique Francaise De Voile 2022
CHRISTIE Olivia ,7,Ilca 6,39.0,G,45,,397,331,Semaine Olympique Francaise De Voile 2022
DEWEY Maura ,7,Ilca 6,15.0,G,46,,404,338,Semaine Olympique Francaise De Voile 2022
TOMBE Yumiko ,7,Ilca 6,12.0,G,47,,419,353,Semaine Olympique Francaise De Voile 2022
HAJI-MICHAEL Anya ,7,Ilca 6,48.0,G,48,,423,364,Semaine Olympique Francaise De Voile 2022
MONCADA SANCHEZ Ana ,7,Ilca 6,49.0,G,49,,440,374,Semaine Olympique Francaise De Voile 2022
VITTECOQ Coralie ,7,Ilca 6,26.0,G,50,,435,379,Semaine Olympique Francaise De Voile 2022
CALDECOAT Paige ,7,Ilca 6,34.0,G,51,,448,382,Semaine Olympique Francaise De Voile 2022
PENRUDDOCKE Adriana ,7,Ilca 6,55.0,G,52,,443,386,Semaine Olympique Francaise De Voile 2022
RADULIC Mailys ,7,Ilca 6,54.0,G,53,,446,388,Semaine Olympique Francaise De Voile 2022
STANNAGE Sylvie ,7,Ilca 6,35.0,G,54,,452,395,Semaine Olympique Francaise De Voile 2022
JUNG Hyewon ,7,Ilca 6,58.0,G,55,,454,396,Semaine Olympique Francaise De Voile 2022
LUBAC Thea ,7,Ilca 6,53.0,G,56,,472,414,Semaine Olympique Francaise De Voile 2022
JORDAN Agustina ,7,Ilca 6,38.0,G,57,,479,422,Semaine Olympique Francaise De Voile 2022
PARK Jeongbin ,7,Ilca 6,57.0,G,58,,497,437,Semaine Olympique Francaise De Voile 2022
